title,genres,director,actor1,actor2,actor3,comb
cut throat city,Action Crime Drama Thriller,RZA,Shameik Moore,T.I.,Demetrius Shipp Jr.,Shameik Moore T.I. Demetrius Shipp Jr. RZA Action Crime Drama Thriller
words on bathroom walls,Drama Romance,Thor Freudenthal,Charlie Plummer,Andy García,Taylor Russell,Charlie Plummer Andy García Taylor Russell Thor Freudenthal Drama Romance
hard kill,Action Thriller,Matt Eskandari,Jesse Metcalfe,Bruce Willis,,Jesse Metcalfe Bruce Willis  Matt Eskandari Action Thriller
chemical hearts,Drama Romance,"Richard Tanne (director/sceenplay); Austin Abrams, Lili Reinhart",,Lili Reinhart,," Lili Reinhart  Richard Tanne (director/sceenplay); Austin Abrams, Lili Reinhart Drama Romance"
tenet,Action Thriller Science Fiction,Christopher Nolan,John David Washington,Robert Pattinson,Elizabeth Debicki,John David Washington Robert Pattinson Elizabeth Debicki Christopher Nolan Action Thriller Science Fiction
bill & ted face the music,Comedy Science Fiction Adventure,Dean Parisot,Keanu Reeves,Alex Winter,Kristen Schaal,Keanu Reeves Alex Winter Kristen Schaal Dean Parisot Comedy Science Fiction Adventure
the new mutants,Action Horror Science Fiction,Josh Boone,Knate Lee (screenplay); Maisie Williams,Anya Taylor-Joy,Charlie Heaton,Knate Lee (screenplay); Maisie Williams Anya Taylor-Joy Charlie Heaton Josh Boone Action Horror Science Fiction
the personal history of david copperfield,Drama Comedy,Armando Iannucci,Simon Blackwell (screenplay); Dev Patel,Aneurin Barnard,Peter Capaldi,Simon Blackwell (screenplay); Dev Patel Aneurin Barnard Peter Capaldi Armando Iannucci Drama Comedy
i'm thinking of ending things,Drama Thriller,Charlie Kaufman,Jesse Plemons,Jessie Buckley,Toni Collette,Jesse Plemons Jessie Buckley Toni Collette Charlie Kaufman Drama Thriller
phineas and ferb the movie: candace against the universe,Animation Science Fiction Comedy Music Family Adventure,Bob Bowen,Vincent Martella,Ashley Tisdale,David Errigo Jr.,Vincent Martella Ashley Tisdale David Errigo Jr. Bob Bowen Animation Science Fiction Comedy Music Family Adventure
all together now,Drama,Brett Haley,Auliʻi Cravalho,Rhenzy Feliz,Judy Reyes,Auliʻi Cravalho Rhenzy Feliz Judy Reyes Brett Haley Drama
rogue,Action Adventure,M. J. Bassett,Isabel Bassett (screenplay); Megan Fox,Philip Winchester,,Isabel Bassett (screenplay); Megan Fox Philip Winchester  M. J. Bassett Action Adventure
centigrade,Thriller,Brendan Walsh,Genesis Rodriguez,Vincent Piazza,Louis Cancelmi,Genesis Rodriguez Vincent Piazza Louis Cancelmi Brendan Walsh Thriller
the binge,Comedy,Jeremy Garelick,Skyler Gisondo,Eduardo Franco,Dexter Darden,Skyler Gisondo Eduardo Franco Dexter Darden Jeremy Garelick Comedy
"love, guaranteed",Romance Comedy,Mark Steven Johnson,Rachael Leigh Cook,Damon Wayans Jr.,,Rachael Leigh Cook Damon Wayans Jr.  Mark Steven Johnson Romance Comedy
mulan,Adventure Fantasy,Niki Caro,Liu Yifei,Donnie Yen,Tzi Ma,Liu Yifei Donnie Yen Tzi Ma Niki Caro Adventure Fantasy
